algorithm,size
leiden,24
leiden,22
leiden,18
leiden,16
leiden,16
leiden,4
leiden,23
leiden,18
leiden,15
leiden,14
leiden,11
leiden,10
leiden,9
leiden,50
leiden,32
leiden,27
leiden,26
leiden,18
leiden,10
leiden,9
leiden,6
leiden,137
leiden,132
leiden,127
leiden,127
leiden,121
leiden,92
leiden,81
leiden,74
leiden,69
leiden,42
leiden,32
leiden,26
leiden,14
leiden,11
leiden,8
leiden,5
leiden,139
leiden,122
leiden,103
leiden,102
leiden,88
leiden,85
leiden,82
leiden,78
leiden,59
leiden,34
leiden,28
leiden,22
leiden,21
leiden,17
leiden,16
leiden,10
leiden,9
leiden,7
leiden,5
leiden,5
leiden,4
leiden,4
leiden,32
leiden,32
leiden,25
leiden,24
leiden,20
leiden,8
leiden,8
leiden,66
leiden,61
leiden,55
leiden,48
leiden,46
leiden,45
leiden,32
leiden,10
leiden,4
leiden,66
leiden,65
leiden,53
leiden,37
leiden,34
leiden,7
leiden,85
leiden,46
leiden,36
leiden,31
leiden,25
leiden,20
leiden,15
leiden,12
leiden,4
leiden,4
leiden,43
leiden,37
leiden,29
leiden,29
leiden,25
leiden,17
leiden,16
leiden,15
leiden,14
leiden,13
leiden,13
leiden,8
leiden,24
leiden,16
leiden,14
leiden,13
leiden,11
leiden,9
leiden,7
leiden,6
leiden,93
leiden,56
leiden,55
leiden,39
